,date,gnk,bbby,hcci,skm,cs,azn,nvda,epac
0,2017-10-02,,,,,,,,
1,2017-10-03,0.03292897090039815,-0.01398306871598165,-0.006864942791762085,0.004043680239183223,0.013333354674569309,-0.0002918678667768182,0.002066845297313602,0.0038910218633920746
2,2017-10-04,-0.005033690762951348,-0.0008594578179984547,-0.006912534243662005,-0.0016109578970587846,-0.01002515370737167,0.002627136330747737,0.008362565531577104,0.003876018712267726
3,2017-10-05,0.028667834701010975,0.0,0.009280789293772074,-0.0024203359048274864,0.00949366693457665,-0.003493613655004335,-0.0005529970891102742,0.0
4,2017-10-06,-0.013114602628552574,-0.014623737556249905,-0.02298850574712641,-0.0036392999427214967,0.006269521173094095,0.0008764229682285407,0.0029319337492594855,0.007722028479572263
5,2017-10-09,-0.04734217810027086,-0.026626134637533605,0.03529411764705892,0.008522708376762278,-0.015576250378754763,0.006421575695787274,0.02255926132376307,0.005747045118506433
6,2017-10-10,0.05405388696515456,-0.005380954590048059,-0.02499995454545456,0.04507039673250812,0.008860728057298095,0.0043505102471115276,0.019095045635770802,-0.005714205322700505
7,2017-10-11,-0.01240712680427214,-0.008566224665004452,0.004661911204572933,-0.0026954586769728506,-0.008155525288275789,-0.001155133137575426,0.01063901330730932,0.003831427844850799
8,2017-10-12,-0.01256248553024597,-0.031832652645284565,0.0,0.006949892569196869,-0.005692569363976996,-0.001734669891821805,0.00047109349881657714,-0.0019084597857234042
9,2017-10-13,0.029686079821639177,-0.0028183769000197367,-0.00928069648634311,0.007285256591902378,0.006997480042609583,0.0023169234958793083,0.018635755397539366,0.003824063595228022
10,2017-10-16,0.018945785495539713,-0.0004708366458737734,0.0,0.012942524540926481,0.005053568364732808,0.0011556998635320337,0.01716423938202505,0.0
11,2017-10-17,0.002425039341657609,-0.006126459313789745,0.028103091334894525,-0.016535149622075807,0.006913984510376503,0.0037517642624447234,-0.0009089952128756851,-0.007618953243133886
12,2017-10-18,0.027419394595511237,0.0018967007515700018,-0.013667470903532153,0.0,-0.006866509569572132,-0.0037377411388177517,-0.0008596763252095574,0.0038387043109262553
13,2017-10-19,-0.011773725515109357,0.0033129958137558813,-0.06004618937644324,-0.015284640320841092,0.0006285628348927652,0.0017315654296812255,0.0011134482430197323,-0.007648011433682322
14,2017-10-20,0.03335962070823628,0.012735714972611278,-0.025552825552825675,0.005044530172951145,0.011306610765865699,-0.002592875196383404,-0.004550454770592349,0.0115604897869801
15,2017-10-23,-0.03689473611504368,-0.01909646116616215,-0.049420070600100674,-0.009652402017480521,-0.003726665451698752,-0.006643548145455536,-0.0014216653171335025,0.0
16,2017-10-24,0.0,0.017094035784418704,0.029177718832890998,0.010526278673234746,0.008104679279351323,-0.005234172824540195,0.010476869001132094,-0.003809495840866761
17,2017-10-25,-0.043894795417265486,-0.021941995383111146,-0.010309226804123606,0.004243777658808012,-0.0030921445240341683,-0.0026306017592904185,-0.02526670392745367,-0.005736056807250645
